Musical,Code,Th
"그리스","19014812",28
"그리스","19002274",27
"그리스","14003640",26
"브로드웨이42번가","22012589",18
"브로드웨이42번가","20003772",17
"브로드웨이42번가","18005777",16
"브로드웨이42번가","17007615",15
"빌리엘리어트","21004532",3
"헤드윅","21005689",13
"헤드윅","19009617",12
"호프","23001026",4
"호프","20007619",3
"호프","19000615",2
"맘마미아","23000103",9
"맘마미아","19007017",8
"맘마미아","15014844",7
"젠틀맨스가이드","20008141",2
"젠틀맨스가이드","21009264",3
"젠틀맨스가이드","18013641",1
"썸씽로튼","20004934",1
"썸씽로튼","21011476",2
"렌트","20003508",8
"렌트","11007401",7
"벤허","19007343",2
"벤허","17008577",1
"팬레터","21010169",4
"팬레터","19014681",3
"리지","20002414",1
"리지","22001599",2
"마리퀴리","19018693",1
"마리퀴리","20005173",2
"레드북","17017683",1
"레드북","21003717",2
"레드북","23001738",3
"킹아더","19001738",1
"킹아더","22001580",2
"렛미플라이","22001399",1
