,같고,같네요,같다,같습니다,같아,같아서,같아요,같은,같은데,굉장히,그런,그런지,기대하고,넘치는,많아서,많은,멋지고,멋진,새로운,솔직히,아깝지,아니,아니라,아닌,아름다운,아쉬운,아쉬워요,아쉽네요,어떤,어떻게,엄청난,없고,없네요,없는,없다,없어,없어서,없을,여전히,예쁘고,완벽한,유명한,이런,입니다,있게,있고,있네요,있는,있는데,있다,있다면,있습니다,있어,있어서,있어요,있었는데,있었다,있었던,있었습니다,있었어요,있었지만,있을,있지만,재미있게,재미있어요,재미있었어요,재밌게,재밌고,재밌는,재밌습니다,재밌어요,재밌었습니다,재밌었어요,좋겠습니다,좋겠어요,좋고,좋네요,좋다,좋습니다,좋아,좋아서,좋아요,좋아하는,좋았고,좋았구요,좋았다,좋았던,좋았습니다,좋았어요,좋았지만,좋은,좋을,즐거운,즐겁게,추합니다,행복한,행복했습니다,화려하고,화려한,훌륭한
0,0.02120311,0.025666923,0.050217893,0.118291037,0.027898829,0.023435017,0.251089465,0.174088695,0.014507391,0.023435017,0.046870033,0.063609331,0.015623344,0.021659109,0.032362642,0.078116722,0.018631688,0.14395796,0.035710502,0.032362642,0.009315844,0.014507391,0.044638127,0.037942408,0.077000769,0.041290268,0.013391438,0.025666923,0.039058361,0.034594548,0.006695719,0.042406221,0.020087157,0.09150816,0.007979672,0.013391438,0.02455097,0.012275485,0.016739298,0.010043579,0.015623344,0.029165146,0.04575408,0.311350936,0.040174314,0.069189097,0.014507391,0.340365719,0.023435017,0.023435017,0.014507391,0.030130736,0.058029565,0.133914381,0.017855251,0.02455097,0.020087157,0.044638127,0.060261472,0.027898829,0.03305864,0.026782876,0.015623344,0.072536956,0.011159532,0.030130736,0.097087926,0.02120311,0.014507391,0.003419859,0.031246689,0.025666923,0.041290268,0.022319064,0.02455097,0.179668461,0.044638127,0.023435017,0.023435017,0.015623344,0.055797659,0.110479364,0.072536956,0.113827224,0.023435017,0.04910194,0.034594548,0.33367,0.257785184,0.019379203,0.513338461,0.041290268,0.111595318,0.071421003,0.018971204,0.093740067,0.040174314,0.007945046,0.017843388,0.020087157
1,0.020779196,0.035826201,0.040125345,0.104254243,0.022928768,0.028302698,0.243976425,0.16623357,0.0179131,0.03045227,0.055888873,0.075951545,0.022570506,0.024885747,0.031527056,0.089207239,0.027664239,0.207075439,0.048007109,0.030094008,0.024299669,0.012180908,0.051589729,0.023645292,0.031168794,0.051231467,0.016480052,0.02686965,0.02866096,0.053381039,0.008240026,0.029019222,0.017554838,0.104970767,0.005489503,0.011464384,0.02507834,0.018987886,0.033318366,0.00716524,0.026153126,0.027308996,0.051947991,0.394446468,0.039767083,0.076668069,0.022212244,0.247200783,0.02686965,0.015405266,0.020062672,0.046215799,0.046932323,0.112852532,0.025436602,0.031885318,0.017554838,0.032601842,0.052664515,0.027944436,0.035498786,0.0179131,0.031168794,0.074518497,0.024361816,0.024720078,0.124675178,0.045141013,0.027227912,0.013540774,0.043707965,0.01970441,0.047290585,0.022212244,0.033318366,0.213165893,0.067353257,0.0179131,0.044782751,0.017554838,0.073443711,0.186654505,0.088848977,0.127541274,0.040841869,0.043707965,0.042991441,0.329242783,0.279444364,0.030741216,0.433497026,0.02686965,0.079892427,0.069502829,0.02328703,0.048007109,0.035826201,0.008927282,0.033988409,0.02507834
2,0.017723742,0.04608173,0.033675111,0.115204326,0.1169767,0.030130362,0.260539013,0.115204326,0.024813239,0.053171227,0.102797706,0.079756841,0.023040865,0.068798669,0.051398853,0.081529215,0.029591138,0.106342454,0.049626479,0.037219859,0.014795569,0.014178994,0.049626479,0.053171227,0.008861871,0.049626479,0.001772374,0.040764608,0.037219859,0.05848835,0.014178994,0.040764608,0.023040865,0.132928068,0.007241965,0.024813239,0.021268491,0.019496117,0.023040865,0.024813239,0.01240662,0.131241528,0.063805473,0.320799737,0.054943601,0.095708209,0.015951368,0.407646075,0.028357988,0.023040865,0.023040865,0.04608173,0.067350221,0.145334688,0.030130362,0.028357988,0.017723742,0.044309356,0.076212092,0.049626479,0.036209826,0.049626479,0.04608173,0.127610945,0.030130362,0.051398853,0.198505915,0.074439718,0.056715976,0.01448393,0.047854104,0.054943601,0.076212092,0.024813239,0.015951368,0.125838571,0.026585614,0.008861871,0.038992233,0.021268491,0.040764608,0.081529215,0.035447485,0.101025332,0.037219859,0.023040865,0.033675111,0.20914016,0.235725774,0.01448393,0.331433983,0.060260724,0.232181025,0.219774406,0.040764608,0.051398853,0.010634245,0.037855339,0.073681781,0.01240662
3,0.007263038,0.006408563,0.011108175,0.024352538,0.021789113,0.017943975,0.049132313,0.054259163,0.007690275,0.007690275,0.023498063,0.004699613,0.004272375,0.000872852,0.00512685,0.035460713,0.003120712,0.015807788,0.019652925,0.007263038,0.000891632,0.007690275,0.015807788,0.014526075,0.045714413,0.013244363,0.0102537,0.010680938,0.019225688,0.014526075,0.001281713,0.005981325,0.003845138,0.025207013,0.004800683,0.004699613,0.002136188,0.002990663,0.009399225,0.023070825,0.0068358,0.000930478,0.026488725,0.079038938,0.012389888,0.012817125,0.004272375,0.085447501,0.012389888,0.007690275,0.002990663,0.015807788,0.033324525,0.040587563,0.008971988,0.008971988,0.0068358,0.012817125,0.0136716,0.008117513,0.006546386,0.016235025,0.009826463,0.00854475,0.0136716,0.002990663,0.0444327,0.004272375,0.00170895,0.004364258,0.026061488,0.002990663,0.012389888,0.014098838,0.025207013,0.096555676,0.032042813,0.010680938,0.022643588,0.018371213,0.028197675,0.942913171,0.012817125,0.033324525,0.002990663,0.026915963,0.022643588,0.140561139,0.118344789,0.005673535,0.156796164,0.009399225,0.004699613,0.002990663,0.000427238,0.009826463,0.014526075,0,0.000910834,0.003845138
4,0.02680191,0.043967178,0.05420611,0.116241992,0.036137407,0.035836262,0.302048493,0.15599314,0.02499504,0.060229012,0.074081684,0.062337027,0.028307635,0.026147831,0.022284734,0.084019471,0.044622135,0.189721386,0.05420611,0.031319086,0.038023087,0.032824811,0.070166798,0.039751148,0.085826341,0.061433592,0.035535117,0.056012981,0.041558018,0.0761897,0.029813361,0.049086644,0.044268324,0.175266424,0.029224047,0.025296185,0.032824811,0.031319086,0.031921376,0.012346947,0.08040573,0.015412764,0.073479394,0.456535908,0.044569469,0.041558018,0.031921376,0.217426732,0.037341987,0.021682444,0.035233972,0.036137407,0.035535117,0.101184739,0.040955728,0.031017941,0.02860878,0.02680191,0.055410691,0.029813361,0.043989881,0.029211071,0.037341987,0.046677484,0.016864123,0.012648092,0.107809931,0.022284734,0.014454963,0.012304862,0.085525196,0.019875574,0.040955728,0.031319086,0.039751148,0.188215661,0.070166798,0.025296185,0.039148858,0.020176719,0.096667564,0.260490475,0.060530157,0.097872144,0.030114506,0.045774049,0.037341987,0.276451163,0.272235132,0.023686859,0.301446203,0.021080154,0.036438552,0.030114506,0.022887024,0.049086644,0.036739697,0.048954826,0.083783081,0.037944277
5,0.026772237,0.022310197,0.033465296,0.037927335,0.122706085,0.051313454,0.232026051,0.16063342,0.033465296,0.044620394,0.093702828,0.015617138,0.033465296,0.004558001,0.029003256,0.147247302,0.006984108,0.024541217,0.069161611,0.031234276,0.004656072,0.020079177,0.040158355,0.053544473,0.044620394,0.073623651,0.020079177,0.037927335,0.049082434,0.060237532,0.006693059,0.008924079,0.011155099,0.064699572,0,0.008924079,0.004462039,0.011155099,0.07808569,0.053544473,0.013386118,0,0.089240789,0.211946874,0.060237532,0.055775493,0.020079177,0.303418682,0.015617138,0.013386118,0.022310197,0.031234276,0.033465296,0.109319966,0.029003256,0.037927335,0.024541217,0.031234276,0.026772237,0.042389375,0.043301009,0.064699572,0.060237532,0.133861183,0.042389375,0.022310197,0.156171381,0.033465296,0.017848158,0.015953003,0.131630164,0.024541217,0.07808569,0.022310197,0.055775493,0.171788519,0.073623651,0.015617138,0.024541217,0.015617138,0.07808569,0.252105229,0.024541217,0.109319966,0.008924079,0.035696316,0.060237532,0.187405657,0.336883978,0.013674003,0.517596575,0.035696316,0.033465296,0.017848158,0.008924079,0.147247302,0.033465296,0.002647297,0,0.011155099
6,0.0108661,0.01521254,0.017696219,0.045327159,0.044706239,0.017696219,0.101830877,0.068922118,0.01210794,0.01459162,0.038807499,0.023594959,0.00714058,0.006025599,0.01272886,0.042222559,0.002915643,0.029493699,0.028562319,0.0077615,0.001943762,0.01334978,0.01272886,0.0139707,0.104314557,0.023905419,0.027320479,0.031666919,0.019558979,0.036634279,0.00558828,0.017696219,0.020179899,0.071716258,0.014588293,0.026078639,0.018317139,0.01148702,0.022353119,0.021111279,0.01210794,0.001690373,0.033219219,0.183481855,0.01490208,0.021111279,0.00900334,0.117664337,0.019558979,0.01459162,0.00900334,0.025147259,0.024526339,0.049052679,0.024526339,0.015523,0.00714058,0.0108661,0.01490208,0.01645438,0.01395402,0.018627599,0.022974039,0.037255199,0.038186579,0.01645438,0.086928797,0.01490208,0.01614392,0.034885049,0.370378769,0.018627599,0.241537873,0.023594959,0.032287839,0.201178074,0.105556397,0.033529679,0.064886138,0.040980719,0.095621677,0.457307567,0.027320479,0.061160618,0.00807196,0.034771519,0.029183239,0.218563834,0.392731888,0.005708463,0.443336867,0.01428116,0.019869439,0.0139707,0.00527782,0.021111279,0.018317139,0.000368387,0.000992812,0.00496736
7,0.019232027,0.014793867,0.020711414,0.045121295,0.066572402,0.032546508,0.127227258,0.126487565,0.008136627,0.022190801,0.047340375,0.018492334,0.014054174,0.017378831,0.025149574,0.122049404,0.019296475,0.096160137,0.029587734,0.01331448,0.009262308,0.019232027,0.049559455,0.059915162,0.018492334,0.031806814,0.021451107,0.030327428,0.037724361,0.036984668,0.010355707,0.033286201,0.014054174,0.098379217,0.012845223,0.018492334,0.014793867,0.020711414,0.028848041,0.021451107,0.060654855,0.006443898,0.099858604,0.291439184,0.048819762,0.073969336,0.0110954,0.302534584,0.025149574,0.021451107,0.010355707,0.030327428,0.050299148,0.09468075,0.028848041,0.022190801,0.012574787,0.019971721,0.023670188,0.024409881,0.014356426,0.036984668,0.020711414,0.057696082,0.034765588,0.022930494,0.152376832,0.075448723,0.035505281,0.021912439,0.159773766,0.017752641,0.205634754,0.034025895,0.08358535,0.324725385,0.067312096,0.025889268,0.047340375,0.034025895,0.093201363,0.274426236,0.037724361,0.084325043,0.007396934,0.029587734,0.033286201,0.199717207,0.297356731,0.015867628,0.471924363,0.021451107,0.056216695,0.041422828,0.026628961,0.082105963,0.045121295,0.00087771,0.002365446,0.019232027
8,0.019620218,0.042373076,0.054573883,0.107169258,0.027534255,0.023906988,0.235112864,0.200983577,0.020609473,0.041548697,0.057211896,0.050451989,0.035448293,0.04025277,0.015992951,0.083262269,0.044387719,0.208073235,0.051935871,0.032150777,0.0469684,0.016157827,0.054738759,0.033304908,0.024896243,0.048308604,0.017147081,0.031161523,0.052265623,0.053090001,0.035283417,0.038910684,0.033634659,0.1742737,0.024252715,0.018136336,0.029018137,0.032480529,0.039405312,0.014014441,0.067763946,0.034292344,0.058530902,0.54474958,0.039735063,0.04962761,0.02423674,0.237091373,0.025885498,0.027204504,0.019290466,0.039735063,0.037097051,0.091011431,0.026050373,0.029183013,0.028688386,0.021268976,0.05391438,0.022752858,0.037221181,0.028193759,0.025720622,0.073039971,0.019620218,0.017641709,0.098925469,0.028688386,0.017311957,0.009600033,0.04649497,0.024896243,0.038745809,0.015003696,0.019290466,0.118875438,0.055398262,0.020279721,0.034953666,0.019620218,0.053254877,0.196202179,0.065950312,0.091176307,0.034129287,0.040064815,0.035118541,0.265614883,0.298260288,0.030484316,0.322826779,0.015003696,0.049957362,0.036932175,0.032480529,0.041548697,0.019455342,0.019563929,0.042180157,0.045670591
9,0.026173458,0.058036799,0.05462287,0.10924574,0.138833127,0.037553223,0.201421832,0.177524327,0.037553223,0.040967152,0.16045468,0.076244422,0.025035482,0.04533555,0.05120894,0.161592656,0.016624461,0.128591339,0.036415247,0.056898823,0.011874615,0.023897506,0.066002634,0.073968469,0.026173458,0.076244422,0.017069647,0.030725364,0.066002634,0.061450728,0.020483576,0.078520375,0.021621553,0.152488845,0.0162743,0.05120894,0.038691199,0.026173458,0.037553223,0.006827859,0.020483576,0.100374924,0.122901457,0.306115666,0.043243105,0.08648621,0.026173458,0.398291759,0.060312752,0.043243105,0.026173458,0.062588705,0.078520375,0.145660986,0.027311435,0.044381082,0.027311435,0.042105129,0.085348234,0.048932987,0.0511478,0.059174776,0.052346917,0.060312752,0.009103812,0.022759529,0.19573195,0.0193456,0.011379765,0.0116245,0.061450728,0.01593167,0.043243105,0.033001317,0.036415247,0.169558492,0.055760846,0.021621553,0.038691199,0.030725364,0.076244422,0.158178727,0.066002634,0.097865975,0.030725364,0.038691199,0.046657035,0.242388985,0.23100922,0.0278988,0.35618663,0.052346917,0.047795011,0.05462287,0.013655717,0.050070964,0.027311435,0.005401228,0.020621596,0.031863341
10,0.006186301,0.004418786,0.004418786,0.014140116,0.024745203,0.00972133,0.024745203,0.031815261,0.011488844,0.002651272,0.007953815,0.007070058,0.000883757,0.004513818,0.010605087,0.016791388,0.008299688,0.021210174,0.012372602,0.004418786,0.002766563,0.007953815,0.005302544,0.001767515,0.003535029,0.00972133,0.011488844,0.011488844,0.007953815,0.006186301,0.003535029,0.014140116,0.007070058,0.01944266,0.006319345,0.007070058,0.005302544,0.004418786,0.018558902,0.000883757,0.005302544,0.000962365,0.014140116,0.056560464,0.010605087,0.022977689,0.007070058,0.086608211,0.005302544,0.004418786,0.007070058,0.011488844,0.013256359,0.028280232,0.023861446,0.003535029,0.001767515,0.002651272,0.006186301,0.006186301,0.009027635,0.010605087,0.006186301,0.031815261,0.052141678,0.012372602,0.08042191,0.007953815,0.004418786,0.005416581,0.088375726,0.881105983,0.383550649,0.008837573,0.013256359,0.051257921,0.023861446,0.005302544,0.01944266,0.007070058,0.038001562,0.139633646,0.016791388,0.010605087,0.000883757,0.004418786,0.006186301,0.042420348,0.083956939,0.005416581,0.052141678,0.007070058,0.008837573,0.013256359,0.006186301,0.003535029,0.006186301,0.012583847,0.037681924,0.002651272
11,0.021729721,0.043459441,0.053443367,0.128616455,0.037586544,0.031713646,0.273089732,0.135076642,0.025253459,0.044634021,0.067538321,0.080458695,0.02349159,0.029996006,0.02407888,0.112759631,0.034931202,0.238439637,0.036411964,0.042872152,0.029415749,0.008809346,0.055205236,0.049919628,0.071062059,0.056967105,0.02231701,0.038761123,0.038173834,0.052856077,0.017618692,0.055792526,0.025840749,0.166790288,0.017997604,0.021729721,0.033475516,0.017618692,0.024666169,0.014094954,0.041110282,0.01662772,0.053443367,0.32477123,0.045221311,0.054030657,0.021142431,0.238439637,0.027602618,0.018205982,0.021729721,0.029364487,0.041697572,0.098077388,0.02349159,0.037586544,0.0229043,0.031713646,0.04757047,0.029951777,0.034195447,0.024666169,0.028777198,0.091029911,0.02231701,0.028777198,0.095140939,0.021729721,0.007047477,0.006599121,0.086331593,0.019380562,0.032888226,0.014682244,0.02407888,0.138013091,0.0458086,0.012333085,0.034062805,0.014094954,0.057554395,0.234328609,0.057554395,0.082807854,0.021142431,0.042872152,0.039935703,0.25547104,0.257820199,0.034795367,0.357659456,0.014094954,0.094553649,0.041110282,0.019380562,0.041697572,0.015856823,0.152614479,0.34306235,0.053443367
12,0.010990759,0.034346121,0.061823018,0.079683002,0.094795295,0.041215346,0.140132175,0.120898347,0.017859983,0.019233828,0.105786054,0.023355363,0.013738449,0.012630519,0.012364604,0.157992158,0.015769453,0.09067376,0.043963035,0.016486138,0.00430076,0.015112293,0.076935312,0.122272192,0.020607673,0.05083226,0.015112293,0.024729207,0.04808457,0.038467656,0.021981518,0.053579949,0.010990759,0.109907588,0.021050866,0.028850742,0.026103052,0.019233828,0.024729207,0.010990759,0.027476897,0.004488135,0.131889106,0.302245868,0.049458415,0.043963035,0.009616914,0.303619713,0.032972277,0.034346121,0.012364604,0.031598432,0.082430691,0.142879865,0.030224587,0.041215346,0.020607673,0.049458415,0.038467656,0.020607673,0.025261039,0.043963035,0.030224587,0.041215346,0.039841501,0.013738449,0.126393727,0.028850742,0.008243069,0.01403391,0.083804536,0.015112293,0.032972277,0.071439932,0.111281433,0.136010641,0.04533688,0.023355363,0.035719966,0.023355363,0.078309157,0.241796694,0.042589191,0.103038364,0.016486138,0.070066088,0.031598432,0.32834892,0.324227386,0.016840693,0.479471854,0.026103052,0.009616914,0.010990759,0.012364604,0.021981518,0.042589191,0,0.004393383,0.031598432
13,0.029823427,0.033332065,0.024560469,0.103504834,0.108767792,0.031577746,0.168414646,0.129819623,0.024560469,0.035086385,0.054383896,0.061401173,0.021051831,0.034048912,0.033332065,0.06841845,0.049426362,0.15788873,0.036840704,0.02280615,0.029289696,0.015788873,0.042103661,0.035086385,0.008771596,0.057892534,0.005262958,0.026314788,0.033332065,0.052629577,0.028069108,0.02280615,0.007017277,0.108767792,0.014336384,0.014034554,0.021051831,0.02280615,0.038595023,0.010525915,0.033332065,0.07641446,0.064909811,0.382441591,0.056138215,0.056138215,0.024560469,0.377178634,0.026314788,0.033332065,0.024560469,0.047366619,0.078944365,0.156134411,0.014034554,0.021051831,0.021051831,0.038595023,0.075435727,0.056138215,0.046593247,0.047366619,0.043857981,0.073681408,0.019297511,0.035086385,0.171923284,0.078944365,0.036840704,0.012544336,0.056138215,0.021051831,0.082453004,0.021051831,0.014034554,0.101750515,0.036840704,0.015788873,0.012280235,0.031577746,0.050875258,0.056138215,0.057892534,0.085961642,0.02280615,0.024560469,0.028069108,0.256130607,0.27191948,0.010752288,0.422790934,0.043857981,0.196483753,0.175431923,0.031577746,0.11403075,0.057892534,0.004163301,0.026180428,0.029823427
14,0.014743134,0.018428917,0.038700726,0.071872776,0.070029885,0.040543617,0.138216878,0.15111712,0.009214459,0.012900242,0.123473744,0.0221147,0.001842892,0.005647576,0.01105735,0.160331578,0,0.036857834,0.020271809,0.003685783,0.00384606,0.020271809,0.040543617,0.029486267,0.027643376,0.027643376,0.016586025,0.0221147,0.033172051,0.058972534,0.003685783,0.029486267,0.01105735,0.090301693,0.011295152,0.012900242,0.003685783,0.014743134,0.025800484,0.01105735,0.01105735,0.012040874,0.053443859,0.322506048,0.071872776,0.090301693,0.0221147,0.390693041,0.014743134,0.035014942,0.012900242,0.018428917,0.070029885,0.079244343,0.035014942,0.016586025,0.025800484,0.023957592,0.0221147,0.033172051,0.022590304,0.047915184,0.023957592,0.062658318,0.01105735,0.018428917,0.088458802,0.038700726,0.01105735,0.016942728,0.068186993,0.027643376,0.035014942,0.016586025,0.057129643,0.210089654,0.077401452,0.029486267,0.018428917,0.025800484,0.033172051,0.381478582,0.035014942,0.058972534,0.023957592,0.047915184,0.031329159,0.186132062,0.189817845,0.009412627,0.527067027,0.036857834,0.038700726,0.027643376,0.009214459,0.029486267,0.035014942,0,0.00392889,0.009214459
