"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"18205","1","뮤지컬그날들","문화공연","뮤지컬","창작","270","2251","2521","20201101"
"18206","2","신비아파트뮤지컬","문화공연","뮤지컬","창작","218","1386","1604","20201101"
"18207","3","뮤지컬베르테르","문화공연","뮤지컬","창작","106","1412","1518","20201101"
"18208","4","뮤지컬캣츠","문화공연","뮤지컬","창작","100","813","913","20201101"
"18209","5","뮤지컬광주","문화공연","뮤지컬","라이선스","40","635","675","20201101"
"18210","6","뮤지컬빨래","문화공연","뮤지컬","창작","152","478","630","20201101"
"18211","7","뮤지컬레베카","문화공연","뮤지컬","창작","40","311","351","20201101"
"18212","8","뮤지컬머더발라드","문화공연","뮤지컬","창작","21","220","241","20201101"
"18213","9","뮤지컬작은아씨들","문화공연","뮤지컬","창작","14","203","217","20201101"
"18214","10","뮤지컬더북","문화공연","뮤지컬","뮤지컬","19","189","208","20201101"
