강렬한,따듯한,멋있는,새로운,슬픈,신나는,아름다운,아쉬운,영원히,예쁜,유쾌한,재미있는,좋았던,즐거운,행복한,화려한,훌륭한,힘든
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
